Sun May  6 10:52:35 2018
           +50            50 renpy.display.imagelike.__package__
           +50            50 renpy.display.imagemap.__package__
           +50            50 renpy.display.joystick.__package__
           +50            50 renpy.display.layout.__package__
           +50            50 renpy.display.module.__package__
           +50            50 renpy.display.motion.__package__
           +50            50 renpy.display.movetransition.__package__
           +50            50 renpy.display.particle.__package__
           +50            50 renpy.display.pgrender.__package__
           +50            50 renpy.display.predict.__package__
           +50            50 renpy.display.presplash.__package__
           +50            50 renpy.display.render.__package__
           +50            50 renpy.display.scale.__package__
           +50            50 renpy.display.screen.__package__
           +50            50 renpy.display.swdraw.__package__
           +50            50 renpy.display.transform.__package__
           +50            50 renpy.display.transition.__package__
           +50            50 renpy.display.tts.__package__
           +50            50 renpy.display.video.__package__
           +50            50 renpy.display.viewport.__package__
           +50            50 renpy.exports.__name__
           +50            50 store._warper.__package__
           +50            50 store.updater.__package__
           +51            51 renpy.add_from.__name__
           +51            51 renpy.loadsave.__name__
           +51            51 renpy.minstore.__name__
           +51            51 store._console.__name__
           +51            51 store._gamepad.__name__
           +51            51 store.director.__package__
           +52            52 renpy.arguments.__name__
           +52            52 renpy.bootstrap.__name__
           +52            52 renpy.character.__name__
           +52            52 renpy.config.menu_window_subtitle
           +52            52 renpy.display.text.__name__
           +52            52 renpy.execution.__name__
           +52            52 renpy.gl.gldraw.__name__
           +52            52 renpy.savelocation.tmp
           +52            52 renpy.sl2.slast.__name__
           +52            52 renpy.styledata.__package__
           +52            52 renpy.styledata.style_activate_functions.__package__
           +52            52 renpy.styledata.style_functions.__package__
           +52            52 renpy.styledata.style_hover_functions.__package__
           +52            52 renpy.styledata.style_idle_functions.__package__
           +52            52 renpy.styledata.style_insensitive_functions.__package__
           +52            52 renpy.styledata.style_selected_activate_functions.__package__
           +52            52 renpy.styledata.style_selected_functions.__package__
           +52            52 renpy.styledata.style_selected_hover_functions.__package__
           +52            52 renpy.styledata.style_selected_idle_functions.__package__
           +52            52 renpy.styledata.style_selected_insensitive_functions.__package__
           +52            52 renpy.styledata.stylesets.__package__
           +52            52 renpy.styledata.styleutil.__package__
           +52            52 renpy.text.font.__name__
           +52            52 renpy.version
           +53            53 renpy.display.im.__name__
           +53            53 renpy.persistent.__name__
           +53            53 renpy.pyanalysis.__name__
           +53            53 renpy.screenlang.__name__
           +53            53 renpy.scriptedit.__name__
           +53            53 renpy.statements.__name__
           +53            53 renpy.vc_version.__name__
           +53            53 renpy.version_name
           +54            54 renpy.audio.audio.__name__
           +54            54 renpy.audio.music.__name__
           +54            54 renpy.audio.sound.__name__
           +54            54 renpy.display.tts.__name__
           +54            54 renpy.performance.__name__
           +54            54 renpy.preferences.__name__
           +54            54 renpy.sl2.slast.filename
           +54            54 renpy.text.extras.__name__
           +54            54 renpy.text.ftfont.__name__
           +54            54 renpy.translation.__package__
           +54            54 renpy.translation.dialogue.__package__
           +54            54 renpy.translation.generation.__package__
           +54            54 renpy.translation.scanstrings.__package__
           +54            54 store.achievement.__name__
           +55            55 renpy.defaultstore.__name__
           +55            55 renpy.display.anim.__name__
           +55            55 renpy.display.core.__name__
           +55            55 renpy.gl.glrtt_fbo.__name__
           +55            55 renpy.gl.gltexture.__name__
           +55            55 renpy.savelocation.__name__
           +55            55 renpy.sl2.slast.CACHE_FILENAME
           +55            55 renpy.sl2.slparser.__name__
           +55            55 renpy.test.testast.__name__
           +55            55 renpy.test.testkey.__name__
           +55            55 renpy.text.texwrap.__name__
           +55            55 store.layeredimage.__name__
           +56            56 renpy.defaultstore._last_say_args
           +56            56 renpy.display.error.__name__
           +56            56 renpy.display.focus.__name__
           +56            56 renpy.display.image.__name__
           +56            56 renpy.display.render.IDENTITY
           +56            56 renpy.display.scale.__name__
           +56            56 renpy.display.text.VERT_FORWARD
           +56            56 renpy.display.text.VERT_REVERSE
           +56            56 renpy.display.video.__name__
           +56            56 renpy.gl.glrtt_copy.__name__
           +56            56 renpy.parsersupport.__name__
           +56            56 renpy.script.BYTECODE_FILE
           +56            56 renpy.substitutions.__name__
           +56            56 store._last_say_who
           +57            57 renpy.display.layout.__name__
           +57            57 renpy.display.module.__name__
           +57            57 renpy.display.motion.__name__
           +57            57 renpy.display.render.__name__
           +57            57 renpy.display.screen.__name__
           +57            57 renpy.display.swdraw.__name__
           +57            57 renpy.gl.glblacklist.__name__
           +57            57 renpy.test.testfocus.__name__
           +57            57 renpy.test.testmouse.__name__
           +57            57 store._errorhandling.__name__
           +58            58 renpy.display.gesture.__name__
           +58            58 renpy.display.predict.__name__
           +58            58 renpy.test.testparser.__name__
           +59            59 renpy.audio.renpysound.__name__
           +59            59 renpy.display.behavior.__name__
           +59            59 renpy.display.dragdrop.__name__
           +59            59 renpy.display.emulator.__name__
           +59            59 renpy.display.imagemap.__name__
           +59            59 renpy.display.joystick.__name__
           +59            59 renpy.display.minigame.__name__
           +59            59 renpy.display.particle.__name__
           +59            59 renpy.display.pgrender.__name__
           +59            59 renpy.display.viewport.__name__
           +59            59 renpy.sl2.slproperties.__name__
           +59            59 renpy.text.textsupport.__name__
           +60            60 renpy.display.imagelike.__name__
           +60            60 renpy.display.presplash.__name__
           +60            60 renpy.display.transform.__name__
           +60            60 renpy.translation.merge.__name__
           +61            61 renpy.config.screenshot_pattern
           +61            61 renpy.display.controller.__name__
           +61            61 renpy.display.transition.__name__
           +61            61 renpy.game.exception_info
           +61            61 renpy.gl.glenviron_fixed.__name__
           +61            61 renpy.sl2.sldisplayables.__name__
           +61            61 renpy.test.testexecution.__name__
           +62            62 renpy.display.accelerator.__name__
           +62            62 renpy.gl.glenviron_shader.__name__
           +62            62 renpy.styledata.stylesets.__name__
           +62            62 renpy.styledata.styleutil.__name__
           +62            62 renpy.translation.extract.__name__
           +63            63 renpy.gl.glenviron_limited.__name__
           +63            63 renpy.styledata.styleclass.__name__
           +63            63 renpy.translation.dialogue.__name__
           +64            64 renpy.config.savedir
           +64            64 renpy.defaultstore.library
           +64            64 renpy.game.style
           +64            64 renpy.python.deleted
           +64            64 store._console
           +64            64 store._errorhandling
           +64            64 store._gamepad
           +64            64 store._warper
           +64            64 store.achievement
           +64            64 store.audio
           +64            64 store.build
           +64            64 store.director
           +64            64 store.example_location
           +64            64 store.gui
           +64            64 store.gui.not_set
           +64            64 store.iap
           +64            64 store.iap.backend
           +64            64 store.icon
           +64            64 store.layeredimage
           +64            64 store.updater
           +65            65 renpy.display.movetransition.__name__
           +65            65 renpy.translation.generation.__name__
           +66            66 renpy.translation.scanstrings.__name__
           +68            68 renpy.config.help_screen
           +68            68 renpy.config.original_developer
           +68            68 renpy.config.renderer
           +68            68 renpy.config.side_image_prefix_tag
           +68            68 renpy.config.window
           +68            68 renpy.styledata.style_functions.__name__
           +68            68 renpy.ui.__file__
           +68            68 store.gui.button_image_extension
           +68            68 store.gui.unscrollable
           +69            69 renpy.ast.__file__
           +69            69 renpy.atl.__file__
           +69            69 renpy.log.__file__
           +69            69 renpy.subprocess.__file__
           +70            70 renpy.dump.__file__
           +70            70 renpy.easy.__file__
           +70            70 renpy.game.__file__
           +70            70 renpy.lint.__file__
           +70            70 renpy.main.__file__
           +70            70 renpy.warp.__file__
           +71            71 renpy.color.__file__
           +71            71 renpy.curry.__file__
           +71            71 renpy.debug.__file__
           +71            71 renpy.error.__file__
           +72            72 renpy.ast.pyexpr_list
           +72            72 renpy.audio.renpysound.advance_time
           +72            72 renpy.audio.renpysound.busy
           +72            72 renpy.audio.renpysound.check_error
           +72            72 renpy.audio.renpysound.check_version
           +72            72 renpy.audio.renpysound.dequeue
           +72            72 renpy.audio.renpysound.fadeout
           +72            72 renpy.audio.renpysound.get_duration
           +72            72 renpy.audio.renpysound.get_pos
           +72            72 renpy.audio.renpysound.get_volume
           +72            72 renpy.audio.renpysound.init
           +72            72 renpy.audio.renpysound.pause
           +72            72 renpy.audio.renpysound.periodic
           +72            72 renpy.audio.renpysound.play
           +72            72 renpy.audio.renpysound.playing_name
           +72            72 renpy.audio.renpysound.queue
           +72            72 renpy.audio.renpysound.queue_depth
           +72            72 renpy.audio.renpysound.quit
           +72            72 renpy.audio.renpysound.read_video
           +72            72 renpy.audio.renpysound.sample_surfaces
           +72            72 renpy.audio.renpysound.set_end_event
           +72            72 renpy.audio.renpysound.set_pan
           +72            72 renpy.audio.renpysound.set_secondary_volume
           +72            72 renpy.audio.renpysound.set_video
           +72            72 renpy.audio.renpysound.stop
           +72            72 renpy.audio.renpysound.unpause
           +72            72 renpy.audio.renpysound.unpause_all
           +72            72 renpy.audio.renpysound.video_ready
           +72            72 renpy.config.__file__
           +72            72 renpy.config.all_character_callbacks
           +72            72 renpy.config.archives
           +72            72 renpy.config.args
           +72            72 renpy.config.character_id_prefixes
           +72            72 renpy.config.gl_test_image
           +72            72 renpy.config.line_log_callbacks
           +72            72 renpy.config.lint_hooks
           +72            72 renpy.config.missing_background
           +72            72 renpy.config.needs_redraw_callbacks
           +72            72 renpy.config.periodic_callbacks
           +72            72 renpy.config.preload_fonts
           +72            72 renpy.config.profile_screens
           +72            72 renpy.config.pygame_events
           +72            72 renpy.config.python_callbacks
           +72            72 renpy.config.save_json_callbacks
           +72            72 renpy.config.top_layers
           +72            72 renpy.config.translate_comments
           +72            72 renpy.config.translate_files
           +72            72 renpy.config.window_overlay_functions
           +72            72 renpy.display.accelerator.nogil_copy
           +72            72 renpy.display.behavior.input_values
           +72            72 renpy.display.behavior.inputs
           +72            72 renpy.display.controller.get_string_for_button
           +72            72 renpy.display.emulator.overlay
           +72            72 renpy.display.module.blend
           +72            72 renpy.display.module.save_png
           +72            72 renpy.display.render.__pyx_unpickle_Matrix2D
           +72            72 renpy.display.render.__pyx_unpickle_Render
           +72            72 renpy.display.render.adjust_render_cache_times
           +72            72 renpy.display.render.check_at_shutdown
           +72            72 renpy.display.render.compute_subline
           +72            72 renpy.display.render.focus_at_point
           +72            72 renpy.display.render.free_memory
           +72            72 renpy.display.render.invalidate
           +72            72 renpy.display.render.mark_sweep
           +72            72 renpy.display.render.mutated_surface
           +72            72 renpy.display.render.process_redraws
           +72            72 renpy.display.render.redraw_queue
           +72            72 renpy.display.render.redraw_time
           +72            72 renpy.display.render.render_ready
           +72            72 renpy.display.render.render_screen
           +72            72 renpy.display.render.take_focuses
           +72            72 renpy.display.scale.real_renpy_pixellate
           +72            72 renpy.display.screen.current_screen_stack
           +72            72 renpy.editor.__file__
           +72            72 renpy.game.searchpath
           +72            72 renpy.gl.gldraw.__pyx_unpickle_GLDraw
           +72            72 renpy.gl.glenviron_shader.__pyx_unpickle_Program
           +72            72 renpy.gl.glenviron_shader.__pyx_unpickle_ShaderEnviron
           +72            72 renpy.gl.glenviron_shader.compile_program
           +72            72 renpy.gl.glenviron_shader.compile_shader
           +72            72 renpy.gl.gltexture.__pyx_unpickle_TextureCore
           +72            72 renpy.gl.gltexture.__pyx_unpickle_TextureGrid
           +72            72 renpy.gl.gltexture.align_axes
           +72            72 renpy.gl.gltexture.alloc_texture
           +72            72 renpy.gl.gltexture.blend
           +72            72 renpy.gl.gltexture.cleanup
           +72            72 renpy.gl.gltexture.compute_subrow
           +72            72 renpy.gl.gltexture.dealloc_textures
           +72            72 renpy.gl.gltexture.imageblend
           +72            72 renpy.gl.gltexture.load_premultiplied
           +72            72 renpy.gl.gltexture.npot_free_textures
           +72            72 renpy.gl.gltexture.premultiply
           +72            72 renpy.gl.gltexture.test_texture_sizes
           +72            72 renpy.gl.gltexture.texture_grid_from_drawing
           +72            72 renpy.gl.gltexture.texture_grid_from_surface
           +72            72 renpy.gl.gltexture.use_gl
           +72            72 renpy.gl.gltexture.use_gles
           +72            72 renpy.loader.__file__
           +72            72 renpy.loader.apks
           +72            72 renpy.loader.archives
           +72            72 renpy.loader.game_apks
           +72            72 renpy.loader.meta_backup
           +72            72 renpy.loader.old_config_archives
           +72            72 renpy.memory.__file__
           +72            72 renpy.object.__file__
           +72            72 renpy.parser.__file__
           +72            72 renpy.parser.parse_errors
           +72            72 renpy.performance.fpl
           +72            72 renpy.pyanalysis.loads
           +72            72 renpy.python.__file__
           +72            72 renpy.screenlang.styles
           +72            72 renpy.script.__file__
           +72            72 renpy.sl2.slast.list_or_tuple
           +72            72 renpy.style.backup
           +72            72 renpy.style.build_style
           +72            72 renpy.style.build_styles
           +72            72 renpy.style.copy_properties
           +72            72 renpy.style.get_full_style
           +72            72 renpy.style.get_or_create_style
           +72            72 renpy.style.get_style
           +72            72 renpy.style.get_text_style
           +72            72 renpy.style.init_inspect
           +72            72 renpy.style.rebuild
           +72            72 renpy.style.reset
           +72            72 renpy.style.style_name_to_string
           +72            72 renpy.style.unbuild_style
           +72            72 renpy.subprocess._active
           +72            72 renpy.text.textsupport.__pyx_unpickle_Line
           +72            72 renpy.text.textsupport.align_and_justify
           +72            72 renpy.text.textsupport.annotate_unicode
           +72            72 renpy.text.textsupport.annotate_western
           +72            72 renpy.text.textsupport.assign_times
           +72            72 renpy.text.textsupport.copy_splits
           +72            72 renpy.text.textsupport.hyperlink_areas
           +72            72 renpy.text.textsupport.kerning
           +72            72 renpy.text.textsupport.linebreak_debug
           +72            72 renpy.text.textsupport.linebreak_greedy
           +72            72 renpy.text.textsupport.linebreak_list
           +72            72 renpy.text.textsupport.linebreak_nobreak
           +72            72 renpy.text.textsupport.mark_altruby_top
           +72            72 renpy.text.textsupport.mark_ruby_bottom
           +72            72 renpy.text.textsupport.mark_ruby_top
           +72            72 renpy.text.textsupport.max_times
           +72            72 renpy.text.textsupport.place_horizontal
           +72            72 renpy.text.textsupport.place_ruby
           +72            72 renpy.text.textsupport.place_vertical
           +72            72 renpy.text.textsupport.reverse_lines
           +72            72 renpy.text.textsupport.tokenize
           +72            72 renpy.text.textsupport.tweak_glyph_spacing
           +72            72 renpy.ui.at_stack
           +72            72 renpy.ui.imagemap_stack
           +72            72 store.director.ALONE_NODES
           +72            72 store.director.UNINTERESTING_NODES
           +72            72 store.director.voice_channel
           +72            72 store.example_size
           +72            72 store.iap.background
           +73            73 renpy.exports.__file__
           +73            73 renpy.styledata.style_idle_functions.__name__
           +74            74 renpy.__file__
           +74            74 renpy.add_from.__file__
           +74            74 renpy.display.text.__file__
           +74            74 renpy.loadsave.__file__
           +74            74 renpy.minstore.__file__
           +74            74 renpy.styledata.style_hover_functions.__name__
           +75            75 renpy.arguments.__file__
           +75            75 renpy.bootstrap.__file__
           +75            75 renpy.character.__file__
           +75            75 renpy.execution.__file__
           +75            75 renpy.sl2.slast.__file__
           +75            75 renpy.text.font.__file__
           +76            76 renpy.config.extend_interjection
           +76            76 renpy.config.images_directory
           +76            76 renpy.display.im.__file__
           +76            76 renpy.persistent.__file__
           +76            76 renpy.pyanalysis.__file__
           +76            76 renpy.screenlang.__file__
           +76            76 renpy.scriptedit.__file__
           +76            76 renpy.statements.__file__
           +76            76 renpy.vc_version.__file__
           +76            76 store.i
           +76            76 store.name
           +77            77 renpy.audio.audio.__file__
           +77            77 renpy.audio.music.__file__
           +77            77 renpy.audio.sound.__file__
           +77            77 renpy.display.tts.__file__
           +77            77 renpy.gl.__file__
           +77            77 renpy.performance.__file__
           +77            77 renpy.preferences.__file__
           +77            77 renpy.styledata.style_activate_functions.__name__
           +77            77 renpy.styledata.style_selected_functions.__name__
           +77            77 renpy.text.extras.__file__
           +78            78 renpy.defaultstore.__file__
           +78            78 renpy.display.anim.__file__
           +78            78 renpy.display.core.__file__
           +78            78 renpy.savelocation.__file__
           +78            78 renpy.sl2.__file__
           +78            78 renpy.sl2.slparser.__file__
           +78            78 renpy.test.testast.__file__
           +78            78 renpy.test.testkey.__file__
           +79            79 renpy.display.error.__file__
           +79            79 renpy.display.focus.__file__
           +79            79 renpy.display.image.__file__
           +79            79 renpy.display.scale.__file__
           +79            79 renpy.display.video.__file__
           +79            79 renpy.substitutions.__file__
           +79            79 renpy.test.__file__
           +79            79 renpy.text.__file__
           +80            80 renpy.angle.__file__
           +80            80 renpy.audio.__file__
           +80            80 renpy.config.context_clear_layers
           +80            80 renpy.config.emphasize_audio_channels
           +80            80 renpy.config.nvl_layer
           +80            80 renpy.config.nvl_page_ctc_position
           +80            80 renpy.config.overlay_layers
           +80            80 renpy.config.transient_layers
           +80            80 renpy.display.layout.__file__
           +80            80 renpy.display.module.__file__
           +80            80 renpy.display.motion.__file__
           +80            80 renpy.display.predict.image
           +80            80 renpy.display.screen.__file__
           +80            80 renpy.display.swdraw.__file__
           +80            80 renpy.gl.glblacklist.__file__
           +80            80 renpy.styledata.style_insensitive_functions.__name__
           +80            80 renpy.test.testfocus.__file__
           +80            80 renpy.test.testmouse.__file__
           +80            80 store.gui.accent_color
           +80            80 store.gui.button_text_selected_color
           +80            80 store.gui.choice_button_text_hover_color
           +80            80 store.gui.choice_button_text_idle_color
           +80            80 store.gui.hover_color
           +80            80 store.gui.hover_muted_color
           +80            80 store.gui.idle_color
           +80            80 store.gui.interface_text_color
           +80            80 store.gui.language
           +80            80 store.gui.muted_color
           +80            80 store.gui.slot_button_text_idle_color
           +80            80 store.gui.text_color
           +81            81 renpy.display.gesture.__file__
